Аббас	عباس	Лев (нахмуренный)
Сулейман	سليمان	Саламон
Султан	سلطان	Власть, господство; султан, государь
Сабика	سبيكة	Слиток (золота, серебра и пр.)
Сабрия	صبرية	Терпеливая
Сагадат	سعادة	Счастье, благополучие, процветание, успех, высокое положение в обществе
Саида	سعيدة	Счастливая
Сакина	سكينة	Спокойствие, тишина; штиль
Салиха	صالحة	Хорошая, добрая, праведная, благодеяние
Салима	سليمة	Здоровая, невредимая, настоящая
Сальва	سلوى	Утешение
Сальма	سلمى	Нежная, мирная
Сальсабиль	سلسبيل	Название источника в раю
Самах	سماح	Щедрость, доброта, прощение
Самира	سميرة	Поддерживающая разговор, улыбка, радость
Самра	سمراء	Смуглая
Самура	سمرة	Дерево
Сана	سناء	Блеск, сияние, величие
Санабиль	سنابل	Колосья
Сания	ثانية	Вторая, секунда
Сания	سنية	Высокая, величественная
Сара	سارة	Принцесса; радующая
Сария	سارية	Идущая, ночное облако; дождь
Савда	سودة	Земля с черными камнями; сад
Савсан	سوسن	Лилии
Сафия	صفية	Чистая, ясная; избранница
Саффана	سفانة	Жемчужина
Сивар	سوار	Браслет
Сидра	سدرة	Лотос
Симсим	سمسم	Кунжут
Сита	صيته	Слава, известность
Суккар	سكر	Сахар
Сумая	سمية	Уменьш. «небо» или «возвышенная»
Суфьян
Тавфик	توفيق	Согласование, помощь, успех, удача, счастье
Тахир	طاهر	Чистый, непорочный
Талиб	طالب	Ищущий, требующий; студент
Танзиль	تنزيل‎‎	Ниспосланный свыше
Тарик	طارق	Стучащий; ночной гость; утренняя звезда
Тураб	تراب	Пыль, земля
Таджвид	تجويد	Улучшение; чтение Корана нараспев
Тайиба	طيبة	Хорошая, приятная
Тамам	تمام	Полнота, совершенство
Тамира	تامرة	Женщина с финиками, женщина с благом
Танзиля	تنزيلا	Ниспосланная свыше
Тина	تينة	Инжир
Убейд	Уменьш. от «абд» – «раб»
Укаб	عقاب	Орел
Умар	عمر	Множ. от «умра» – малый хаджж
Усама	أسامة	Львенок, молодой лев
Усман	عثمان	Разновидность птиц
Ульфат	ألفة	Согласие, единодушие, симпатия, дружба, любовь
Улья	علياء	Самая высокая, высшая
Умайя	أمية	Уменьш. от «ама» – «рабыня»
Умм	أم	мать
Умния	أمنية	Желание, мечта
Фазиль	فاضل	Достойный, идеальный
Фаик	فائق	Превосходный, удивительный
Фалих	فالح	Успешный, преуспевающий
Фарадж	فرج	Облегчение, утешение, радость
Фарид	فريد	Редкий, необычный
Фарук	فاروق	Различающий добро и зло; мудрый
Фатхи	فتحي	Победный
Фахим	فهيم	Понимающий, проницательный
Фахри	فخري	Гордый, славный, почетный
Файхан	فيحان	Ароматный, душистый
Фади	فداء	Избавление, спасение, искупление
Фикри	فكري	Идейный
Фуад	فؤاد	Душа, сердце
Файсаль	فيصل	Судья, арбитр; меч
Фарах	فرح	Радость, ликование, веселье
Фавзия	فوزية	Победная, успешная
Фадва	فدوى	Избавление, спасение, выкуп
Фаджр	Заря, рассвет
Фаиза	فائزة	Победительница
Фай	فيء	Возвращение, тень; трофей
Фаляк	فلق	Заря, рассвет
Фарида	فريدة	Редкая, необычная; жемчужина
Фархана	فرحانة	Радостная, веселая
Фатима	فاطمة	Отнимающая от груди ребенка
Фатина	فطينة	Умная, понятливая, догадливая
Фатиха	فاتحة	Светлая, открывающая, начало
Фирдаус	فردوس	Рай, райский сад
Фируз	فيروز	Бирюза
Фаукия	فوقية	Верхняя, сделанная сверху
Фадия	فادية	Спасительница
Хабиб	حبيب	Любимый, возлюбленный
Хабис	حابس	Удерживающий, придерживающий
Хади	هادي	Руководитель, предводитель
Хадир	خضير	Зеленеющий, зеленый
Хазик	حاذق	Высококвалифицированный, ловкий, искусный
Хазим	حازم	Твердо решающий что-либо сделать; мудрый
Хайдар	حيدر	Лев
Хайри	خيري	Благой, хороший
Хайям	خيام	Человек, изготовляющий палатки
Хайян	حيان	Живой
Хаким	حكيم	Мудрый
Хакки	حقي	Истинный
Халяф	خلف	Преемник, потомство, более позднее поколение
Хальдун	خلدون	Вечный
Халид	خالد	Вечный; остающийся в каком-либо месте; человек в возрасте, который не седеет и у него не выпадают зубы
Халил	خليل	Возлюбленный, любовник; друг, приятель
Халим	حليم	Кроткий, мягкий, терпеливый
Халис	خالص	Чистый, неподдельный, настоящий, свободный
Халифа	خليفة	Наместник, халиф; преемник
Халляд	خلاد	Вечный
Хам	حام	один из сыновей Нуха
Хамад	حمد	Хвала, прославление
Хамас	حماس	Воодушевление, энтузиазм, восторг
Хамди	حمدي	Похвальный, благодарный
Хамид	حامد	Хвалящий, благодарный
Хамза	حمزة	Лев
Хамзат	حمزة	Проворливый
Хаммам	همام	Энергичный, неутомимый, неустанный
Хамид	حميد	Похвальный, достойный похвалы
Хамим	حميم	Закадычный друг, приятель
Хамис	خميس	Четверг; армия, состоящая из пяти частей
Хамуд	حمود	Похвальный, благодарный
Ханбаль	حنبل	Низкий; с большим животом; море
Хани	هاني	Счастливый, довольный, благополучный
Ханиф	حنيف	Истинно верующий в Аллаха
Ханун	حنون	Жалостливый, сострадательный, жалобный, нежный
Харис	حارث	Пахарь; собирающий, пожинающий, получающий
Харун	هارون	Имя пророка
Хасан	حسن	Хороший, красивый
Хасиб	حسيب	Знатный, принадлежащий к знатному роду
Хасим	حاسم	Решающий, решительный
Хасин	حصين	Укрепленный, крепкий, неприступный
Хасиф	حصيف	Рассудительный
Хасур	حصور	Воздержанный, скромный
Хатим	حاتم	Правитель, судья
Хатир	خاطر	Мысль, идея, соображение, понятие, ум, душа, желание
Хаттаб	خطاب	Дающий хутбы; часто сватающийся
Хафиз	حافظ	Оберегающий, хранящий, помнящий наизусть Коран
Хафс	حفص	Лев
Хашим	هاشم	Дробящий, ломающий, разбивающий
Хидр	خضر	Имя пророка
Хиляф	خلاف	Разногласие; ива
Хикмат	حكمت	Мудрость
Хиляль	هلال	Полумесяц, молодой месяц
Хишам	هشام	Щедрость, великодушие
Хузаг	هزاع	Лев
Хузейфа	Низкий; куски мяса, которые отрезают
Хумам	همام	Достойный, доблестный, великодушный; герой
Хусейн	حسين	Уменьшительная форма имени Хасан
Хабиба	حبيبة	Любимая, возлюбленная
Хавва	حواء	Дающая жизнь; живая
Хаджар	هاجر	Хорошая, красивая
Хадиджа	خديجة	Преждевременно рожденная; выкидыш
Хадир	هدير	Шум, рев, грохот, грохотанье, воркованье
Хадия	هادية	Руководительница, предводительница
Хадия	هدية	Дар, подарок
Хадра	خضراء	Зеленая; прозрачная, свежая, смуглая; небо
Хазами	حذام	Быстро ходящая
Хайрат	خيرات	Блага
Хайрия	خيرية	Благая, хорошая
Хайя	هيا	Красивая
Халида	خالدة	Вечная
Халима	حليمة	Кроткая, мягкая, терпеливая
Халиса	خالصة	Чистая, неподдельная, настоящая
Халляда	خلادة	Вечная
Халя	هلا	Приветственное слово
Халя	حلا	Быть сладкой, красивой; нравиться
Хамама	حمامة	Голубка
Хамдия	حمدية	Похвальная, благодарная
Хамида	حميدة	Похвальная, достойная похвалы
Хамса	همسة	Нашептывание
Хана	هناء	Счастье, довольство, благополучие, преуспеяние, процветание
Ханан	حنان	Жалость, сострадание, сочувствие, нежность
Ханин	حنين	Страстное желание; тоска, жалость, вздох
Ханифа	حنيفة	Истинно верующая в Аллаха
Хания	هانية	Счастливая, довольная, благополучная
Хания	هنية	Приятная, благотворная
Хануф	هنوف	Смеющаяся
Хасана	حسنة	Красивая, прекрасная, хорошая, благая; хорошее, доброе дело; милостыня
Хасиба	حسيبة	Знатная; принадлежащая к знатному роду
Хасифа	حصيفة	Рассудительная
Хасна	حسناء	Красивая женщина; красавица
Хатира	خاطرة	Мысль
Хатун	خاتون	Госпожа, принцесса, дама
Хафиза	حافظة	Оберегающая, хранящая, помнящая наизусть Коран; память, бумажник, сумка
Хафса	حفصة	Гиена; стервятница
Хаят	حياة	Жизнь
Хейба	هيبة	Уважение, почтение, престиж, величие
Хайрат	خيرات	Блага, богатства, имущества
Хейфа	هيفاء	Стройная (в талии), изящная; тонкая
Хисса	حصة	Судьба; участь, доля; морская жемчужина
Хиба	هبة	Дар, подарок
Хидая	هداية	Ведение по правильному пути, руководство
Хикма	حكمة	Мудрость
Хишма	حشمة	Скромность, застенчивость, стыдливость, приличие, благопристойность, почтение, уважение
Хиям	هيام	Безумная любовь
Хубб	حب	Любовь
Худа	هدى	Правильный путь, руководство
Худна	هدنة	Перемирие, спокойствие
Худра	خضرة	Зелень, растительность, зеленый цвет
Хурия	حورية	Гурия
Хурра	حرة	Свободная женщина (не рабыня)
Хуррия	Свобода
Хусна	حسنى	Наилучшая, прекраснейшая; благо, доброе дело, добро
Хусния	حسنية	Красивая, хорошая
Шаабан	شعبان	Название 8-го месяца лунного календаря
Шабиб	شبيب	Молодой
Шавкат	شوكت	Сила, мощь, могущество
Шавки	Страстный, сильное желанный
Шади	شادي	Поющий, певец
Шадид	شديد	Сильный, крепкий, мощный, строгий, суровый
Шадин	شادن	Детеныш газели
Шайи	شايع	Распространенный
Шакиб	شكيب	Дар, воздаяние
Шакир	شاكر	Благодарный
Шакур	شكور	Благодарный
Шамих	سامخ	Высокий, гордый
Шаммаг	شماع	Продающий свечи; изготовляющий свечи
Шамсуддин	شمس الدين	Солнце веры
Шамиль	شامل	Обширный, всеобъемлющий
Шамим	شميم	Приятный запах
Шараф	شرف	Честь, почет
Шарафуддин	شرف الدين	Почёт веры
Шариф	شريف	Благородный, знатный, честный
Шафи	شافي	Целительный, целебный, исцеляющий; убедительный
Шафик	شفيق	Сострадательный
Шахид	شهيد	Шахид; свидетель
Шахин	شاهين	Разновидность хищных соколоподобных птиц
Шахир	شهير	Обнажающий меч; известный
Шахм	شهم	Стойкий, энергичный; неустрашимый, доблестный, проницательный
Шейба	شيبة	Седой волос
Шейбан	شيبان	Белый; холодный снежный день; седина
Шибль	شبل	Львенок
Шихаб	شهاب	Падающая звезда; метеор
Шихабуддин	شهاب الدين	Метеор веры
Шуайб	شعيب	Имя пророка
Шуджа	شجاع	Смелый, отважный
Шукри	شكري	Благодарный
Шаза	شذى	Аромат, благоухание
Шадия	شادية	Поющая, певица
Шакира	شاكرة	Благодарная
Шакра	شقراء	Блондинка, русая, рыжая
Шамаиль	شمائل	Хорошие качества, достоинства
Шамма	شماء	Высокая, возвышенная
Шамса	شمسة	Солнце
Шамсия	شمسية	Солнечная; зонтик
Шамус	شموس	Строптивая, норовистая
Шарга	شرعاء	Относящаяся к шариату; полноводная; длинная; близкая людям
Шарифа	شريفة	Благородная, знатная, честная
Шавкия	شوقية	Страсть, сильное желание
Шафика	شفيقة	Сострадательная
Шафия	شافية	Целительная, целебная, исцеляющая
Шага	شاهة	Благородная
Шахама	شهامة	Благородство, неустрашимость, проницательность
Шахба	شهباء	Серая
Шахд	شهد	Сотовый мёд
Шахида	شهيدة	Шахидка; свидетельница
Шахира	شهيرة	Известная
Шахля	شهلاء	Голубоглазая
Шахма	شهمة	Стойкая, энергичная, неустрашимая, доблестная, проницательная
Шейма	شيماء	С хорошим характером; с большим количеством родинок
Шейха	شيخة	Образованная женщина
Ширин	شيرين	Сладкая (перс.)
Шифа	شفاء	Выздоровление, излечение
Шихана	شيهانة	Разновидность птиц
Шуа	شعاع	Луч, полоса света
Шукрия	شكرية	Благодарная
Шумейса	شميسة	Солнышко
Шурук	شروق	Восход
Шукр	شكر	Благодарность
Шугба	شعبة	Отрасль, ветви, ответвление, отделение
Юмн	يمن	Счастье, благоденствие
Юнус	يونس	Имя пророка (с евр. «голубь»)
Юсри	يسري	Благословенный, простой, легкий
Юсуф	يوسف	Имя пророка (от евр. «йосеф» – «прибавляется»)
Юмна	يمنى	Правая рука; правая сторона; правша; счастливая, благословенная
Юср	يسر	Легкость, преуспевание, процветание
Юсра	يسرى	Левая рука; левая сторона, левша; легкость, преуспевание, процветание
Юсрия	يسرية	Процветающая
Язид	يزيد	Прибавляется, увеличивается
Якзан	يقظان	Не спящий, бодрствующий, бдительный, внимательный, зоркий
Якуб	يعقوب	Имя пророка Иакова
Янфа	ينفع	Помогает, причиняет пользу
Ярим	يريم	Долго остается где-то
Ясин	ياسين	Название одной из сур Корана
Ясир	ياسر	Легкий; название предмета, которым играли в мейсир
Яфи	يافع	Взрослый; юноша
Яхья	يحيى	Имя пророка; «живет, здравствует»
Яруб	يعرب	Имя родоначальника арабов
Якута	ياقوتة	Кусок яхонта
Ямама	يمامة	Разновидность птиц, похожих на голубей.
Ямина	يامنة	Счастливая, благословенная
Ямм	يم	Море
Янаби	ينابيع	Источники, истоки
Янбу	ينبوع	Источник, исток
Ясира	يسيرة	Легкая
Ясмин	ياسمين	Жасмин
Ясмина	ياسمينة	Одна ветка жасмина
